,season,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,full_name
261,2019-20,52.0,22.0,8.3,3.4,5.1,67.0,0.0,0.0,0.0,1.5,2.2,69.6,2.5,7.5,10.0,1.9,1.4,0.3,0.9,2.0,25.7,11.0,0.0,-0.9,DeAndre Jordan
262,2019-20,61.0,24.3,6.5,2.5,5.9,42.4,0.8,2.1,36.2,0.7,0.9,81.5,0.6,2.0,2.6,3.4,1.0,0.7,0.3,1.9,16.8,0.0,0.0,-0.8,Cory Joseph
263,2019-20,12.0,5.4,3.5,1.2,2.7,43.8,0.8,1.7,45.0,0.4,0.4,100,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,5.7,0.0,0.0,-0.1,Mfiondu Kabengele
264,2019-20,32.0,22.4,11.0,4.0,8.7,45.5,1.2,3.5,34.8,1.8,2.8,67.0,0.9,4.0,4.9,2.2,1.0,0.4,0.3,2.2,21.4,1.0,0.0,-1.0,Frank Kaminsky
265,2019-20,47.0,18.1,8.6,3.6,6.3,57.6,0.0,0.1,14.3,1.3,1.8,70.2,2.8,5.1,7.9,1.0,1.1,0.4,0.8,1.8,22.0,8.0,0.0,3.9,Enes Kanter
266,2019-20,28.0,32.9,15.8,5.4,12.2,44.2,2.6,6.5,39.9,2.4,2.7,89.3,0.3,3.2,3.5,4.1,1.5,0.4,0.2,2.3,26.5,0.0,0.0,-0.8,Luke Kennard
267,2019-20,4.0,3.8,0.0,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.5,0.0,0.0,0.8,0.8,0.0,0.0,-0.3,Stanton Kidd
268,2019-20,19.0,11.2,2.7,1.0,3.0,33.3,0.3,0.9,27.8,0.5,0.6,81.8,0.6,2.1,2.7,0.6,0.5,0.1,0.3,1.5,7.3,0.0,0.0,-0.4,Michael Kidd-Gilchrist
269,2019-20,10.0,6.2,2.0,0.8,2.1,38.1,0.4,1.1,36.4,0.0,0.3,0.0,0.1,0.9,1.0,0.5,0.2,0.2,0.0,1.0,4.4,0.0,0.0,1.9,Louis King
270,2019-20,61.0,25.0,9.2,3.2,7.0,46.5,1.6,4.2,38.0,1.1,1.3,86.3,1.6,3.8,5.4,1.1,0.7,0.3,1.2,2.3,21.0,2.0,0.0,2.1,Maxi Kleber
271,2019-20,22.0,16.5,6.6,2.2,6.2,36.0,1.7,4.9,34.3,0.5,1.0,47.8,0.1,1.2,1.4,2.4,1.5,0.4,0.1,1.5,11.8,0.0,0.0,-2.9,Brandon Knight
272,2019-20,60.0,18.1,6.6,2.3,6.3,36.3,1.0,3.1,32.6,1.0,1.6,65.3,0.4,2.4,2.8,1.0,0.7,0.3,0.4,1.6,12.8,0.0,0.0,-3.3,Kevin KnoxII
273,2019-20,11.0,9.6,3.3,1.5,2.2,66.7,0.3,0.6,42.9,0.1,0.2,50.0,0.8,1.6,2.5,1.1,0.2,0.5,0.3,0.3,10.1,0.0,0.0,1.5,John Konchar
274,2019-20,61.0,21.8,9.8,3.5,8.1,43.2,2.0,5.0,39.7,0.8,1.1,72.3,0.3,2.0,2.3,1.0,0.7,0.5,0.2,1.3,15.7,0.0,0.0,1.3,Furkan Korkmaz
275,2019-20,36.0,15.5,6.0,2.3,5.2,43.9,0.9,3.0,28.7,0.6,0.8,71.4,0.6,1.7,2.3,0.9,0.4,0.3,0.7,1.5,12.8,0.0,0.0,-1.2,Luke Kornet
276,2019-20,47.0,16.7,6.4,2.1,5.0,41.8,1.6,4.0,40.7,0.6,0.7,83.9,0.3,1.8,2.1,1.2,0.8,0.4,0.2,1.3,11.8,0.0,0.0,2.9,Kyle Korver
277,2019-20,37.0,13.0,4.3,1.6,3.5,46.5,0.7,1.6,41.0,0.4,0.6,62.5,0.5,2.1,2.6,0.8,0.9,0.5,0.1,1.8,9.4,0.0,0.0,-0.1,Rodions Kurucs
278,2019-20,51.0,24.7,12.6,4.7,11.0,43.2,1.4,4.4,30.8,1.7,2.4,72.1,0.9,3.4,4.3,1.3,1.6,0.4,0.4,1.9,20.3,2.0,0.0,3.1,Kyle Kuzma
279,2019-20,60.0,34.8,25.5,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,3.4,1.5,0.5,2.2,40.0,2.0,0.0,-3.2,Zach LaVine
280,2019-20,33.0,17.2,5.8,2.5,4.5,55.1,0.1,0.4,23.1,0.8,1.0,75.8,2.0,3.2,5.1,1.3,0.9,0.2,0.9,2.7,16.4,1.0,0.0,0.4,Skal Labissiere
281,2019-20,46.0,28.1,12.5,4.7,10.4,45.1,1.2,3.4,33.5,2.0,2.4,83.6,0.5,3.8,4.3,2.1,1.1,1.2,0.5,2.3,24.8,2.0,0.0,0.0,Jeremy Lamb
282,2019-20,23.0,10.9,2.7,1.0,2.3,41.5,0.2,0.9,23.8,0.6,0.9,66.7,0.3,0.6,1.0,0.2,0.3,0.3,0.3,1.1,5.6,0.0,0.0,1.8,Romeo Langford
283,2019-20,4.0,1.9,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,Vic Law
284,2019-20,19.0,23.0,9.2,3.6,8.3,43.0,1.2,3.4,33.8,0.8,1.2,69.6,0.6,1.9,2.6,0.7,1.1,0.8,0.5,2.1,16.2,0.0,0.0,0.7,Jake Layman
